Dataset,Task,prompt,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110
DDTI,seg,74.31%,68.80%,71.08%,69.50%,68.37%,62.88%,69.52%,71.15%,74.20%,72.33%,77.27%,69.61%,75.29%,71.88%,68.86%,71.65%
MMOTU,seg,79.46%,78.15%,78.37%,78.48%,76.71%,76.94%,75.66%,76.88%,78.84%,80.41%,80.03%,77.48%,80.31%,79.99%,78.50%,77.33%
TN3K,seg,77.76%,74.97%,73.63%,74.90%,72.05%,71.89%,73.22%,74.70%,77.68%,77.04%,79.89%,75.63%,80.25%,78.85%,75.18%,74.11%
Fetal_HC,seg,96.74%,96.53%,96.46%,96.49%,96.46%,96.08%,96.41%,96.55%,96.66%,96.73%,96.78%,96.71%,97.04%,96.75%,96.64%,96.50%
BUSIS,seg,91.56%,91.15%,91.51%,90.99%,90.87%,90.19%,90.41%,90.95%,91.27%,91.64%,92.04%,91.11%,91.75%,91.48%,90.73%,90.21%
CCAU,seg,94.31%,93.37%,93.38%,92.66%,93.20%,92.23%,89.41%,89.72%,92.64%,90.69%,92.46%,88.53%,92.76%,93.17%,90.57%,92.72%
BUS-BRA,seg,86.92%,85.04%,85.06%,86.26%,83.34%,84.62%,85.44%,84.47%,87.10%,86.85%,87.39%,85.59%,87.11%,87.78%,85.67%,83.99%
kidneyUS_capsule,seg,90.39%,85.62%,87.72%,86.68%,85.78%,84.49%,86.05%,86.57%,88.40%,88.02%,87.91%,88.80%,87.57%,88.28%,86.07%,87.79%
EchoNet-Dynamic,seg,91.74%,91.16%,91.06%,91.13%,91.08%,90.91%,90.96%,91.11%,91.47%,91.41%,91.85%,91.35%,91.85%,91.53%,91.20%,91.15%
UDIAT,seg,81.32%,72.54%,77.69%,72.58%,69.72%,69.49%,77.76%,70.94%,81.13%,74.24%,80.45%,77.10%,80.61%,78.15%,76.00%,76.79%
,seg,86.45%,83.73%,84.60%,83.97%,82.76%,81.97%,83.48%,83.30%,85.94%,84.94%,86.61%,84.19%,86.45%,85.79%,83.94%,84.22%
TN3K,cls,71.82%,67.92%,62.38%,70.52%,60.91%,62.38%,70.68%,70.36%,68.73%,71.34%,72.48%,73.29%,73.29%,70.03%,70.68%,60.26%
CUBS,cls,86.23%,78.99%,83.70%,80.43%,80.80%,80.80%,72.46%,72.46%,75.00%,75.00%,76.45%,74.64%,80.80%,75.36%,81.16%,84.06%
BUS-BRA,cls,88.27%,84.00%,74.67%,84.53%,72.27%,70.40%,84.80%,88.00%,86.13%,86.93%,82.93%,85.07%,86.40%,85.87%,84.53%,77.60%
Appendix,cls,46.32%,48.42%,50.53%,44.21%,49.47%,49.47%,45.26%,45.26%,51.58%,46.32%,47.37%,46.32%,49.47%,48.42%,51.58%,49.47%
Fatty-Liver,cls,90.91%,86.36%,62.73%,88.18%,68.18%,72.73%,67.27%,68.18%,53.64%,70.00%,66.36%,70.91%,60.00%,81.82%,69.09%,93.64%
UDIAT,cls,90.91%,81.82%,66.67%,84.85%,63.64%,48.48%,90.91%,84.85%,87.88%,84.85%,90.91%,84.85%,90.91%,84.85%,84.85%,75.76%
,cls,79.08%,74.58%,66.78%,75.46%,65.88%,64.04%,71.90%,71.52%,70.49%,72.41%,72.75%,72.51%,73.48%,74.39%,73.65%,73.46%
,,83.69%,80.30%,77.91%,80.77%,76.43%,75.25%,79.14%,78.89%,80.15%,80.24%,81.41%,79.81%,81.59%,81.51%,80.08%,80.19%
